Year,Als,Auv,Aux,Bea,Bor,Bur,Cha1,Cha2,Gai,Ger,HLV,IdF,Jur,Lan,LLV,Lux,Mar,NIt,NLo,NRv,Sav,Spa,SLo,SRv,Swi,VSE,VPC,GHDmean,GHDcore
1416,,,,,,-1.0213333333333594,,,,,,,,,,,,,,,,,,,,,,-1.0213333333333594,-1.0213333333333594
1417,,,,,,-5.821333333333314,,,,,,,,,,,,,,,,,,,,,,-5.821333333333314,-5.821333333333314
1418,,,,,,-17.421333333333337,,,,,,,,,,,,,,,,,,,,,,-17.421333333333337,-17.421333333333337
1419,,,,,,-8.921333333333337,,,,,,,,,,,,,,,,,,,,,,-8.921333333333337,-8.921333333333337
1420,,,,,,-28.52133333333333,,,,,,,,,,,,,,,,,,,,,,-28.52133333333333,-28.52133333333333
1421,,,,,,-3.6213333333333253,,,,,,,,,,,,,,,,,,,,,,-3.6213333333333253,-3.6213333333333253
1422,,,,,,-16.52133333333333,,,,,,,,,,,,,,,,,,,,,,-16.52133333333333,-16.52133333333333
1423,,,,,,-0.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-0.9213333333333367,-0.9213333333333367
1424,,,,,,-14.121333333333325,,,,,,,,,,,,,,,,,,,,,,-14.121333333333325,-14.121333333333325
1425,,,,,,-10.921333333333337,,,,,,,,,,,,,,,,,,,,,,-10.921333333333337,-10.921333333333337
1426,,,,,,-12.921333333333337,,,,,,,,,,,,,,,,,,,,,,-12.921333333333337,-12.921333333333337
1427,,,,,,-1.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-1.9213333333333367,-1.9213333333333367
1428,,,,,,9.078666666666663,,,,,,,,,,,,,,,,,,,,,,9.078666666666663,9.078666666666663
1429,,,,,,-2.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-2.9213333333333367,-2.9213333333333367
1430,,,,,,-11.921333333333337,,,,,,,,,,,,,,,,,,,,,,-11.921333333333337,-11.921333333333337
1431,,,,,,-7.921333333333337,,,,,,,,,,,,,,,,,,,,,,-7.921333333333337,-7.921333333333337
1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,,,,,,-13.921333333333337,,,,,,,,,,,,,,,,,,-17.598630136986316,,,,-15.759981735159826,-15.759981735159826
1434,,,,,,-25.921333333333337,,,,,,,,,,,,,,,,,,,,,,-25.921333333333337,-25.921333333333337
1435,,,,,,-1.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-1.9213333333333367,-1.9213333333333367
1436,,,,,,3.0786666666666633,,,,,,,,,,,,,,,,,,-3.598630136986287,,,,-0.25998173515981193,-0.25998173515981193
