,GHDmean,GHDcore,Als,Bor,Bur,Cha2,Lan,LLV,SRv,Swi
1901,183.98898288823628,183.98898288823628,258.4893013453296,172.8624794282204,185.15778545057228,163.5819502293021,182.05684637057465,150.96741181894194,196.39697834110564,330.45970909992445
1902,193.7650622217662,193.7650622217662,253.213414659391,218.03194248550932,204.60017832886982,189.28347503210264,105.63834022817043,132.51892448137582,123.51091045897067,330.06630586656246
1903,243.21065507424504,243.21065507424504,281.5456704990773,216.3274812772804,221.14034434886761,202.74582313082425,246.42989035897057,219.7221672378328,302.44933567541614,340.0327023186868
1904,182.43130561262168,182.43130561262168,229.5704197887563,167.4173604378441,221.49477335994428,202.34102345028546,138.65458556477736,178.6949200925941,159.37048720472347,301.09239726047707
1905,192.47940406338995,192.47940406338995,236.2383530175694,160.99762635183805,138.67291081798004,147.485787586475,185.45950906362492,119.17889269016945,216.17809396994244,260.1726291099729
1906,134.32099539494052,134.32099539494052,295.1877464165902,85.80775558726299,145.99604850009985,130.9624477452169,116.51510399933153,54.93772217466026,124.95507911380903,241.15799055682706
1907,208.45315318682177,208.45315318682177,234.86173587937057,233.1443409563313,206.07114046890567,193.5376739597842,108.36755712868512,197.6352253255754,144.95019244594255,348.84650553517105
1908,229.38290295942977,229.38290295942977,369.72813252547206,209.93227083650572,256.06815832022966,232.03175092076958,122.16040150306328,181.80991516514717,151.15769978134185,378.40521852550165
1909,212.171157631398,212.171157631398,331.8412170296865,194.96227483402814,209.78307688688437,198.10121605414136,127.72287232118563,180.22664870090557,162.88029146149822,333.67812590308233
1910,285.95441878221305,285.95441878221305,413.759055657127,281.31608441470127,386.55743368745823,351.8008748245132,185.77201443031916,201.5181302332728,177.52113470916387,468.1117618671349
1911,188.34892406971383,188.34892406971383,199.57875056496343,205.18911425115343,153.30555201300092,142.9056344595077,167.12324154522923,164.58001459734388,183.2729527132637,224.84040785062555
1912,217.78160061841092,217.78160061841092,285.27780781335946,251.22626921484812,220.6363629325245,199.8116350484066,163.5923108897887,155.47172847276647,209.76557341871856,353.3039293131447
1913,215.85558503600154,215.85558503600154,268.0015264718689,231.764711907557,253.10678550810667,233.03728708590737,163.93766160463124,139.0240761471481,174.6699838710635,276.8110621256419
1914,270.7151066285161,270.7151066285161,407.4865463170418,193.62470049340925,297.859213563956,258.53404299115124,243.26213721934167,194.97686575952775,295.44719443864756,485.6692034729404
1915,248.42699139647982,248.42699139647982,269.7562839903782,216.85023108731792,211.6792561802213,178.6791398195246,283.42586963791143,203.16917162139066,321.1244534409027,381.5635274754182
1916,207.12904344147455,207.12904344147455,358.40714695603714,136.09778868245775,265.2243458122365,243.57125528940537,158.13306074323995,111.26108676724961,139.17260703558637,401.1747692243694
1917,274.5498095353363,274.5498095353363,338.472215573499,216.35772556785872,293.85540441242557,264.0760090586652,279.083182945415,179.24332453414235,297.70156669888695,401.77650614146035
1918,179.80678304017167,179.80678304017167,215.53517598575746,136.70646200967312,188.65982352807333,177.47106645060634,140.18841556340303,133.31040607805073,151.11115269751784,303.51825750767034
1919,143.29886798358214,143.29886798358214,208.14542219194414,145.37846415825598,153.61004378762158,130.70935220003997,77.7450975692862,104.66907975682936,58.10841046617625,251.59913177870683
1920,196.8870801207436,196.8870801207436,268.55561852420124,179.21173019111427,226.04800924572046,209.44413869688498,135.65947711866525,147.12906238695408,138.2626065488469,300.79255186365225
1921,149.53886585951645,149.53886585951645,207.11010658759193,158.99159470608134,190.97924405288958,176.0822189556438,106.38400376341322,107.21604480410251,126.56598399820386,249.21843338308062
1922,181.10503894192135,181.10503894192135,277.18677974349885,108.89890506472248,216.0698890724012,193.08092313120076,184.38449058268793,100.2269173921352,166.42351713102204,341.4790281112813
1923,162.92669926189413,162.92669926189413,235.0329621088156,141.41236486723523,170.0215910806399,164.12583839185962,88.08272987000903,111.53099431609188,111.68207612182101,309.67001591538605
1924,207.04363787816487,207.04363787816487,333.6814877140464,146.19791552864703,189.36564020702488,179.6520659945176,116.98418750057377,134.73732432447227,176.80939931559564,400.47283066946176
1925,221.3120699032114,221.3120699032114,255.60911943234606,217.25377949395374,222.207099568717,225.12017962600353,192.54672782975544,180.23027700536284,235.3674753671467,293.56331887278657
1926,257.0044270978478,257.0044270978478,399.03001988303424,188.39079326044043,258.3837308055823,233.11537113834322,204.86718925762273,175.72261988714408,252.9353305667722,442.3581487136103
1927,247.71628944492915,247.71628944492915,319.66904039993904,248.35184549658297,241.64172797764712,233.70887238957607,111.51300504248854,281.78182393503016,141.29219392383675,394.95955879248373
1928,148.24639242623402,148.24639242623402,204.7821913361534,123.3298117482028,185.23001162733308,178.56637878899045,63.44554839723425,108.94991338746125,80.23568659879297,246.5995528825733
1929,199.47009443498294,199.47009443498294,273.6671153408484,178.85410753000104,256.36506563726584,229.61206981345975,91.77060405747724,148.84762625172712,117.9423764690237,356.9426216441963
1930,304.63690594463276,304.63690594463276,413.2865239863697,285.9767663024098,347.3015905929044,314.90120606442457,195.75514803357692,234.59754812188567,228.1526002615475,541.0935932560255
1931,220.27420362335891,220.27420362335891,381.08176419050545,174.0200020466174,278.5472861507675,270.46822434349934,115.6023262676859,186.58484595623236,138.41332592502175,336.0616506746899
1932,306.7577002068633,306.7577002068633,388.1364688058821,390.01787527925137,293.66684635074574,239.55652686244642,289.72385387522166,243.34030195196507,312.7417629660961,532.431138973451
1933,202.90565770041556,202.90565770041556,359.90181977906866,187.4216733481163,247.21911988795645,232.31851159661153,151.93200938076103,94.1597859003658,163.16018454409803,401.86371146463847
